Date,Ticker,Open,High,Low,Close,Volume
,,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
2015-07-02,ADRO,191.4455108642578,195.2240406839471,188.92649098446495,191.4455108642578,41489400
2015-07-03,ADRO,191.4455108642578,193.96453074405068,190.18600092436137,191.4455108642578,18505300
2015-07-06,ADRO,190.1860160827637,191.4455261230469,185.1479759216309,186.40748596191406,24315400
2015-07-07,ADRO,186.40745370047432,187.66696352277484,175.0718652997698,176.3313751220703,48893700
2015-07-08,ADRO,175.0718996470211,177.59091978582717,164.99581909179688,164.99581909179688,55760600
2015-07-09,ADRO,163.73626587882876,167.5147950914171,152.4006782410637,158.69822692871094,117369100
2015-07-10,ADRO,159.95777893066406,164.99581921194482,156.17924871970348,159.95777893066406,59980300
2015-07-13,ADRO,161.21725365423387,162.47676344840758,153.66019488919167,156.17921447753906,36732400
2015-07-14,ADRO,156.17922478048212,157.43873465774408,146.1031457623865,147.36265563964844,78181500
2015-07-15,ADRO,148.62214314436713,152.40067220735952,147.362633456703,149.88165283203125,56210600
2015-07-22,ADRO,151.1411769701087,151.1411769701087,141.06509850543478,144.8436279296875,89347100
2015-07-23,ADRO,146.10312376903886,151.14116251969537,144.84361408137474,149.88165283203125,73346000
2015-07-24,ADRO,148.62218475341797,149.88169479370117,139.80561447143555,141.06512451171875,62430800
2015-07-27,ADRO,141.06511296452703,144.84364277607688,138.5460930901605,139.80560302734375,38267800
2015-07-28,ADRO,142.3246058146159,151.14117431640625,138.54607645670575,151.14117431640625,92650400
2015-07-29,ADRO,151.14116604045287,154.9196951914642,144.84361745543399,148.6221466064453,122011200
2015-07-30,ADRO,151.1411852714343,151.1411852714343,146.1031457623865,147.36265563964844,44238800
2015-07-31,ADRO,148.6221466064453,149.8816563234491,146.10312717243778,148.6221466064453,61646400
2015-08-03,ADRO,148.62214526795506,149.8816549736157,141.06508703399123,143.5841064453125,42026900
2015-08-04,ADRO,143.58410773843022,151.14116604045287,142.32459802142645,148.6221466064453,72399600
2015-08-05,ADRO,149.8816645304362,153.66019388834636,147.3626449584961,151.14117431640625,107959100
2015-08-06,ADRO,151.14116251969537,151.14116251969537,148.62214314436713,149.88165283203125,64433800
2015-08-07,ADRO,149.88166348687534,149.88166348687534,144.8436243780728,146.10313415527344,22768100
2015-08-10,ADRO,146.10314509298948,146.10314509298948,141.06510560702432,142.32461547851562,22817900
2015-08-11,ADRO,143.58411997669148,146.10313962540536,130.98902173312206,133.50804138183594,71443900
2015-08-12,ADRO,127.21048626457292,127.21048626457292,118.64581986260167,122.17244720458984,114793200
